category,move,trainer,pokemon,path,catalogMatched,source,validationStatus,effects,decisions,issues,selfDebuffIssues
fullyAutomated,Drain Punch,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,true,catalog+sheet_build,automatic,healing+damage,,,
fullyAutomated,Knock Off,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,true,catalog+sheet_build,automatic,damage,,,
needsReview,Parting Shot,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,true,catalog+sheet_build,needs_review,teleport+custom,,custom_effect,
automatedWithFallback,Sky Uppercut,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,false,sheet_build,partial,damage+leaping,,,
needsReview,Surf,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,true,catalog+sheet_build,needs_review,damage,,unknown_extra,
fullyAutomated,Swords Dance,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,true,catalog+sheet_build,automatic,enhanced_trait,,,
fullyAutomated,Taunt,Amber,Pangoro,trainers/Amber/sheets/Pangoro_179_8de27dee,true,catalog+sheet_build,automatic,affliction,,,
automatedWithFallback,Nadar,Amber,Starmie,trainers/Amber/sheets/Starmie_71_3f90389b,false,sheet_build,partial,immunity+swimming,,,
fullyAutomated,Psychic,Amber,Starmie,trainers/Amber/sheets/Starmie_71_3f90389b,true,catalog+sheet_build,automatic,damage+weaken,,,
fullyAutomated,Surf,Amber,Starmie,trainers/Amber/sheets/Starmie_71_3f90389b,true,catalog+sheet_build,automatic,damage,,,
needsReview,Recover,Amber,Starmie,trainers/Amber/sheets/Starmie_71_3f90389b,true,catalog+sheet_build,needs_review,healing,,reaction_needs_trigger,
requiresRuntimeDecision,Ilusão,Amber,Starmie,trainers/Amber/sheets/Starmie_71_3f90389b,false,sheet_build,needs_review,damage+illusion,,unreliable_50_percent,
needsReview,Dive,Amber,Starmie,trainers/Amber/sheets/Starmie_71_3f90389b,true,catalog+sheet_build,needs_review,custom,,custom_effect,
fullyAutomated,First Impression,Amber,golisopod,trainers/Amber/sheets/golisopod_247_77e12fcc,true,catalog+sheet_build,automatic,damage+enhanced_trait,,,
fullyAutomated,Iron Defense,Amber,golisopod,trainers/Amber/sheets/golisopod_247_77e12fcc,true,catalog+sheet_build,automatic,enhanced_trait,,,
