move,occurrences,examples,matched,ruleId,type,category,validationStatus,runtimeDecisionCount,flags,pokemonBehavior,system,recommendation
"Accelerock","1","Icarus/Rockruff","true","move:accelerock:145","Rock","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg extras=Increased Range 1 | enhanced_trait target=self res=thg linked","OK pelo catalogo/engine atual."
"Acid Spray","1","Delta/Muk-A","true","move:acid-spray:162","Poison","Especial","automatic","0","catalog","Lowers the target’s Special Defense by two stages.","damage target=target res=will extras=Increased Range 1 | weaken target=target res=will trait=will extras=Cumulative linked","OK pelo catalogo/engine atual."
"Acrobatics","2","RCsar/chimchar, RCsar/chimchar","true","move:acrobatics:51","Flying","Físico","automatic","0","catalog","Has double power if the user has no held item.","damage target=target res=thg | damage target=target res=thg linked","OK pelo catalogo/engine atual."
"Agility","3","James HiBorn/Dodrio, James HiBorn/Dodrio, Shintaro/Raichu Alola","true","move:agility:83","Psychic","Status","automatic","0","catalog;self_debuff","Raises the user’s Speed by two stages.","enhanced_trait target=self res=will trait=dodge/initiative","OK pelo catalogo/engine atual."
"Agillity","1","Ezenek/Emolga","true","move:agillity:163","Psychic","Status","automatic","0","catalog;self_debuff","Raises the user’s Speed by two stages.","enhanced_trait target=self res=will trait=dodge/initiative","OK pelo catalogo/engine atual."
"Air Slash","1","Nala/Noctowl","true","move:air-slash:148","Flying","Especial","automatic","0","catalog;secondary_guaranteed","Has a 30% chance to make the target flinch.","damage target=target res=thg extras=Increased Range 1 | affliction target=target res=fort cond=dazed/stunned/incapacitated linked","OK pela regra da mesa: efeito secundario tratado como garantido quando declarado."
"Ally Switch","3","Delta/Malamar, Icarus/Dottler, Nala/Dottler","true","move:ally-switch:164","Psychic","Status","automatic","1","catalog;runtime_decision","User switches places with the friendly Pokémon opposite it.","teleport target=target res=dodge extras=Increased Range 1 | enhanced_trait target=self trait=seize_initiative linked","Automatiza com decisao em runtime para dado ausente/escolha do jogador."
"Aqua Jet","1","James HiBorn/Empoleon","true","move:aqua-jet:147","Water","Físico","automatic","0","catalog","Inflicts regular damage with no additional effect.","damage target=target res=thg | movement target=self res=thg linked | enhanced_trait target=self res=thg linked","OK pelo catalogo/engine atual."
"Aqua Ring","2","Ezenek/Araquanid, Ezenek/Dewpider","true","move:aqua-ring:167","Water","Status","automatic","0","catalog","Restores 1/16 of the user’s max HP each turn.","regeneration target=self","OK pelo catalogo/engine atual."
"Aura Sphere","2","Icarus/Riolu, Logan/Blastoise","true","move:aura-sphere:149","Fighting","Especial","automatic","0","catalog","Never misses.","damage target=target res=thg extras=Increased Range 1","OK pelo catalogo/engine atual."
