kind,move,pokemon,trainer,source,effects,issues,path
needsReview,4 Braços Extras,golisopod,Amber,sheet_build,feature,,trainers/Amber/sheets/golisopod_247_77e12fcc
needsReview,Blizzard,Glalie,Ezenek,catalog+sheet_build,damage+custom,unreliable_50_percent|custom_effect,trainers/Ezenek/sheets/Glalie_117_e88ca4a6
needsReview,Block,Malamar,Delta,catalog+sheet_build,custom,custom_effect,trainers/Delta/sheets/Malamar_213_9ed74b49
needsReview,Brave Bird,Sirfetch'd,Ezenek,catalog+sheet_build,custom,custom_effect,trainers/Ezenek/sheets/butterfree_9_7e28987a
needsReview,Cavar Dano,Infernape,Logan,sheet_build,damage+feature,,trainers/Logan/sheets/Infernape_129_3a12cab3
needsReview,Charge,Flaaffy,Icarus,catalog+sheet_build,enhanced_trait+custom,custom_effect,trainers/Icarus/sheets/Flaaffy_183_ac5b2917
needsReview,Counter,Riolu,Icarus,catalog+sheet_build,damage,reaction_needs_trigger,trainers/Icarus/sheets/Riolu_157_8940d6b5
needsReview,Dark Pulse,Darkrai,Ezenek,catalog+sheet_build,affliction+damage,unknown_extra,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d
needsReview,Dark Void,Darkrai,Ezenek,sheet_build,custom,custom_effect,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d
needsReview,Dark Void Area,Darkrai,Ezenek,sheet_build,custom,custom_effect|unknown_extra,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d
needsReview,Deflect: Deflect 15,Pikachu,Logan,sheet_build,deflect+deflect+damage+weaken,unknown_extra,trainers/Logan/sheets/Pikachu_18_defe6561
needsReview,Destiny Bond,Gengar,Ezenek,catalog+sheet_build,affliction,reaction_needs_trigger,trainers/Ezenek/sheets/Gengar_62_46ad6c53
needsReview,Dig,Krokorok,Ezenek,catalog+sheet_build,custom,custom_effect,trainers/Ezenek/sheets/Krokorok_435_c522b620
needsReview,Disable,Gengar,Ezenek,catalog+sheet_build,nullify,,trainers/Ezenek/sheets/Gengar_62_46ad6c53
needsReview,Disable: Nullify 22,Darkrai,Ezenek,name_build+sheet_modifiers,nullify,,trainers/Ezenek/sheets/Darkrai_mm_Darkrai_28d1f33d
needsReview,Dive,Starmie,Amber,catalog+sheet_build,custom,custom_effect,trainers/Amber/sheets/Starmie_71_3f90389b
needsReview,Double-Edge,Golem-A,Ezenek,catalog+sheet_build,custom,custom_effect,trainers/Ezenek/sheets/Golem-A_52_fe504b8e
needsReview,Electric Terrain,Raichu,Felicia Fulgar,catalog+sheet_build,environment+nullify,,trainers/Felicia_Fulgar/sheets/Raichu_19_67520735
needsReview,Electro Ball,Lycanroc (Midday),Ezenek,catalog+sheet_build,custom,custom_effect,trainers/Ezenek/sheets/Raichu_19_44eaf007
needsReview,Embargo,Weavile,Delta,catalog+sheet_build,nullify,,trainers/Delta/sheets/Weavile_87_9182e07c
needsReview,Emotional Resonance,Ponyta (Galar),Shintaro,sheet_build,custom+deflect,custom_effect,trainers/Shintaro/sheets/Ponyta_Galar_53_21c27348
needsReview,Endure,donphan,Ezenek,catalog+sheet_build,feature,,trainers/Ezenek/sheets/donphan_204_db8c81e6
needsReview,Fire Spin,Centiskorch,Eneias,catalog+sheet_build,damage+nullify+damage,,trainers/Eneias/sheets/Joltik_168_99def918
